n02119789	kit fox, Vulpes macrotis
n02100735	English setter
n02096294	Australian terrier
n02509815	lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens
n02124075	Egyptian cat
n02123394	Persian cat
n02125311	cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
n02447366	badger
n02109047	Great Dane
n02092002	Scottish deerhound, deerhound
n02442845	mink
n02504458	African elephant, Loxodonta africana
n02114712	red wolf, maned wolf, Canis rufus, Canis niger
n02128925	jaguar, panther, Panthera onca, Felis onca
n02117135	hyena, hyaena
n02138441	meerkat, mierkat
n02493509	titi, titi monkey
n02443484	black-footed ferret, ferret, Mustela nigripes
n02110341	dalmatian, coach dog, carriage dog
n02445715	skunk, polecat, wood pussy
n02093256	Staffordshire bullterrier, Staffordshire bull terrier
n02112826	corgi, Welsh corgi
n02106382	Bouvier des Flandres, Bouviers des Flandres
n02441942	weasel
n02113712	miniature poodle
n02488702	colobus, colobus monkey
n02123159	tiger cat
n02114855	coyote, prairie wolf, brush wolf, Canis latrans
n02094433	Yorkshire terrier
n02111277	Newfoundland, Newfoundland dog
n02132136	brown bear, bruin, Ursus arctos
n02119022	red fox, Vulpes vulpes
n02120505	grey fox, gray fox, Urocyon cinereoargenteus
n02086079	Pekinese, Pekingese, Peke
n02484975	guenon, guenon monkey
n02137549	mongoose
n02500267	indri, indris, Indri indri, Indri brevicaudatus
n02129604	tiger, Panthera tigris
n02480495	orangutan, orang, orangutang, Pongo pygmaeus
n02110806	basenji
n02128385	leopard, Panthera pardus
n02100583	vizsla, Hungarian pointer
n02494079	squirrel monkey, Saimiri sciureus
n02123597	Siamese cat, Siamese
n02481823	chimpanzee, chimp, Pan troglodytes
n02489166	proboscis monkey, Nasalis larvatus
n02114548	white wolf, Arctic wolf, Canis lupus tundrarum
n02134084	ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
n02480855	gorilla, Gorilla gorilla
n02108551	Tibetan mastiff
n02493793	spider monkey, Ateles geoffroyi
n02107142	Doberman, Doberman pinscher
n02483708	siamang, Hylobates syndactylus, Symphalangus syndactylus
n02099601	golden retriever
n02106166	Border collie
n02090827	greyhound
n02326432	hare
n02108089	boxer
n02486261	patas, hussar monkey, Erythrocebus patas
n02486410	baboon
n02487347	macaque
n02112497	griffon, Brussels griffon, Belgian griffon
